Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2015-12-21 00:00:00,411.054365,422.657023,406.8369362,421.1494141,4331012,0,0,INFY
2015-12-22 00:00:00,418.8594219,418.8594219,412.2375247,413.6306152,4109254,0,0,INFY
2015-12-23 00:00:00,417.9434388,420.7868323,414.8901103,420.157074,2870928,0,0,INFY
2015-12-24 00:00:00,420.6151304,421.5310917,416.0541927,418.4396057,1230054,0,0,INFY
2015-12-28 00:00:00,416.0160849,423.6494076,416.0160849,421.6456604,5526952,0,0,INFY
2015-12-29 00:00:00,420.3097965,423.6493749,418.802234,421.6265259,3345062,0,0,INFY
2015-12-30 00:00:00,420.2525119,422.3516753,413.3443651,414.6038818,5153970,0,0,INFY
2015-12-31 00:00:00,416.0733897,423.630352,414.8711319,421.8937988,7943938,0,0,INFY
2016-01-01 00:00:00,419.8327093,423.2486022,417.2373612,421.8364563,1806550,0,0,INFY
2016-01-04 00:00:00,419.8137085,420.7678739,410.6919238,411.7796631,3975362,0,0,INFY
2016-01-05 00:00:00,414.2985556,414.2985556,405.4248187,409.9284973,4949786,0,0,INFY
2016-01-06 00:00:00,410.1574926,410.1574926,404.1462514,408.1346436,5588328,0,0,INFY
2016-01-07 00:00:00,404.5851599,407.5812294,399.9479075,401.0547485,5294088,0,0,INFY
2016-01-08 00:00:00,405.1385744,407.3904138,402.8485778,405.825592,3156716,0,0,INFY
2016-01-11 00:00:00,403.1539637,408.3636693,401.550938,402.9249268,5360622,0,0,INFY
2016-01-12 00:00:00,405.3293497,405.6919138,393.4404428,400.7302551,6565212,0,0,INFY
2016-01-13 00:00:00,403.4211055,416.3977541,400.0242676,413.4971008,8751294,0,0,INFY
2016-01-14 00:00:00,406.8561318,440.8244205,402.4097117,432.4277649,30227006,0,0,INFY
2016-01-15 00:00:00,438.152643,444.2593001,434.1642513,435.0611572,13036614,0,0,INFY
2016-01-18 00:00:00,435.0612331,443.5342026,430.6529706,432.0079041,10066612,0,0,INFY
2016-01-19 00:00:00,433.1910635,442.3319488,430.7293355,434.9658203,7500436,0,0,INFY
2016-01-20 00:00:00,432.8092654,442.7325819,426.3209431,427.9430237,7507998,0,0,INFY
2016-01-21 00:00:00,433.1910765,436.0535726,428.2294166,433.9735107,6743000,0,0,INFY
2016-01-22 00:00:00,438.1908863,439.8702266,431.6644046,433.6681519,6436018,0,0,INFY
2016-01-25 00:00:00,435.1948068,437.7137939,429.2026671,434.2024841,4579262,0,0,INFY
2016-01-27 00:00:00,437.5611131,438.7633707,433.1910545,434.526886,6971962,0,0,INFY
2016-01-28 00:00:00,433.5727079,436.0916949,429.8323613,431.1300354,7788598,0,0,INFY
2016-01-29 00:00:00,434.3360468,446.5493627,431.8933743,444.6028748,10232108,0,0,INFY
2016-02-01 00:00:00,446.5493393,450.327843,443.3433347,447.8279114,4251126,0,0,INFY
2016-02-02 00:00:00,449.1638627,454.1827826,444.2594613,448.6677246,7632702,0,0,INFY
2016-02-03 00:00:00,445.7096312,448.8011169,439.9655385,441.8547668,5245966,0,0,INFY
2016-02-04 00:00:00,442.7517355,456.0718439,442.7517355,450.2705383,5549346,0,0,INFY
2016-02-05 00:00:00,448.6485522,452.9041391,447.2554615,448.3432007,3984224,0,0,INFY
2016-02-08 00:00:00,444.1641171,447.3891784,436.5498938,439.2215576,4221044,0,0,INFY
2016-02-09 00:00:00,430.6338242,430.6338242,417.3518269,422.7524109,7579572,0,0,INFY
2016-02-10 00:00:00,422.8860733,430.3285628,421.7410749,423.0960083,5866054,0,0,INFY
2016-02-11 00:00:00,424.0310634,424.7943956,408.8216777,411.6841736,5214378,0,0,INFY
2016-02-12 00:00:00,417.8097756,421.511964,407.2376455,413.9740601,7408096,0,0,INFY
2016-02-15 00:00:00,418.40158,419.9091428,414.7184917,416.684082,5093478,0,0,INFY
2016-02-16 00:00:00,414.8710082,417.0655881,409.794831,411.874939,5125448,0,0,INFY
2016-02-17 00:00:00,412.8673608,420.9777665,411.0544465,419.0121765,4164598,0,0,INFY
2016-02-18 00:00:00,419.8327363,430.1377216,419.8327363,428.7637329,4189072,0,0,INFY
2016-02-19 00:00:00,427.1607535,432.885746,425.1188489,430.2331848,3974018,0,0,INFY
2016-02-22 00:00:00,431.6643887,432.7902852,425.1951665,430.0041504,3857010,0,0,INFY
2016-02-23 00:00:00,431.3780992,432.2368479,425.9584593,428.9545288,2501960,0,0,INFY
2016-02-24 00:00:00,427.2751365,436.5305381,426.8362112,429.5078735,4950714,0,0,INFY
2016-02-25 00:00:00,429.5270652,431.5117104,420.2525597,423.763916,4484528,0,0,INFY
2016-02-26 00:00:00,427.5233326,432.046067,425.9394089,427.9049988,4235636,0,0,INFY
2016-02-29 00:00:00,431.0918212,431.43533,407.7338767,413.7451172,8166076,0,0,INFY
2016-03-01 00:00:00,417.8480532,431.3971993,417.8480532,429.5460815,6386154,0,0,INFY
2016-03-02 00:00:00,433.97347,444.06852,429.3743747,441.2060242,7214898,0,0,INFY
2016-03-03 00:00:00,445.7859505,455.2703426,440.4426258,446.282135,5814304,0,0,INFY
2016-03-04 00:00:00,448.6865609,452.2742308,442.3890716,446.7973328,4281680,0,0,INFY
2016-03-08 00:00:00,443.8777074,454.3735259,437.9237251,444.0494385,7617746,0,0,INFY
2016-03-09 00:00:00,437.0077921,451.7973571,436.2253578,449.7936096,6305782,0,0,INFY
2016-03-10 00:00:00,443.8395257,443.8395257,434.8512703,436.0535278,24381016,0,0,INFY
2016-03-11 00:00:00,437.4656671,441.1869116,434.4123383,436.2443542,4058548,0,0,INFY
2016-03-14 00:00:00,437.3893585,440.5381039,434.5268627,435.5573425,4174262,0,0,INFY
2016-03-15 00:00:00,436.6260214,440.6335155,430.8819279,432.9620361,6720258,0,0,INFY
2016-03-16 00:00:00,435.8244946,440.8243108,431.8742601,439.8510437,5588850,0,0,INFY
2016-03-17 00:00:00,441.5495329,446.4539331,440.4617938,443.4006042,6474622,0,0,INFY
2016-03-18 00:00:00,443.8013135,457.6176063,443.495962,455.4802856,8477422,0,0,INFY
